Country,Code,LifeExpectancy,GDP,Population,Continent
Afghanistan,AFG,64.486,1934.555054,37171922,Asia
Albania,ALB,78.458,11104.16602,2882735,Europe
Algeria,DZA,76.693,14228.02539,42228415,Africa
Angola,AGO,60.782,7771.441895,30809787,Africa
Argentina,ARG,76.52,18556.38281,44361150,Middle & South America
Armenia,ARM,74.945,11454.4248,2951741,Asia
Australia,AUS,83.281,49830.80078,24898153,Oceania
Austria,AUT,81.434,42988.07031,8891383,Europe
Azerbaijan,AZE,72.864,16628.05469,9949537,Asia
Bahrain,BHR,77.163,39498.76563,1569440,Asia
Bangladesh,BGD,72.32,4099.25293,161376713,Asia
Barbados,BRB,79.081,11995.18652,286640,Middle & South America
Belarus,BLR,74.59,18727.31836,9452615,Europe
Belgium,BEL,81.468,39756.20313,11482180,Europe
Benin,BEN,61.47,2220.176514,11485035,Africa
Bolivia,BOL,71.239,6695.774414,11353140,Middle & South America
Bosnia and Herzegovina,BIH,77.262,10460.52051,3323929,Europe
Botswana,BWA,69.275,15842.12988,2254067,Africa
Brazil,BRA,75.672,14033.56543,209469320,Middle & South America
Bulgaria,BGR,74.928,18444.25977,7051610,Europe
Burkina Faso,BFA,61.174,1589.624146,19751466,Africa
Burundi,BDI,61.247,651.3588867,11175379,Africa
Cambodia,KHM,69.57,3628.561035,16249795,Asia
Cameroon,CMR,58.921,2888.045898,25216261,Africa
Canada,CAN,82.315,44868.74219,37074558,North America
Cape Verde,CPV,72.782,6831.21582,543764,Africa
Central African Republic,CAF,52.805,623.4888916,4666375,Africa
Chad,TCD,53.977,2046.363159,15477727,Africa
Chile,CHL,80.042,22104.76563,18729166,Middle & South America
China,CHN,76.704,13101.70605,1427647789,Asia
Colombia,COL,77.109,13545.0498,49661056,Middle & South America
Comoros,COM,64.118,1724.420654,832322,Africa
Congo,COG,64.29,5714.591797,5244363,Africa
Costa Rica,CRI,80.095,14686.25391,4999443,Middle & South America
Cote d'Ivoire,CIV,57.422,3713.643555,25069226,Africa
Croatia,HRV,78.342,22012.31445,4156407,Europe
Cuba,CUB,78.726,8325.630859,11338146,Middle & South America
Cyprus,CYP,80.828,27184.41602,1189262,Asia
Czechia,CZE,79.222,30748.50781,10665679,Europe
Democratic Republic of Congo,COD,60.368,859.3817139,84068092,Africa
Denmark,DNK,80.784,46312.34375,5752131,Europe
Djibouti,DJI,66.582,3295.681396,958923,Africa
Dominica,DMA,74.806,9021.173828,71626,Middle & South America
Dominican Republic,DOM,73.892,15912.39941,10627147,Middle & South America
Ecuador,ECU,76.8,10638.8252,17084359,Middle & South America
Egypt,EGY,71.825,11957.21191,98423602,Africa
El Salvador,SLV,73.096,8598.198242,6420740,Middle & South America
Equatorial Guinea,GNQ,58.402,28528.95313,1308966,Africa
Estonia,EST,78.567,27408.66406,1322913,Europe
Eswatini,SWZ,59.401,8068.211914,1136274,Africa
Ethiopia,ETH,66.24,1838.490356,109224410,Africa
Finland,FIN,81.736,38896.69922,5522585,Europe
France,FRA,82.541,38515.91797,64990512,Europe
Gabon,GAB,66.187,17613.55664,2119275,Africa
Gambia,GMB,61.735,1882.239868,2280092,Africa
Georgia,GEO,73.6,11984.90527,4002946,Asia
Germany,DEU,81.18,46177.61719,83124413,Europe
Ghana,GHA,63.78,4267.066895,29767108,Africa
Greece,GRC,82.072,23450.76563,10522244,Europe
Guatemala,GTM,74.063,7402.114746,17247855,Middle & South America
Guinea,GIN,61.185,1606.466553,12414292,Africa
Guinea-Bissau,GNB,58.003,1501.413574,1874304,Africa
Haiti,HTI,63.66,1729.043213,11123183,Middle & South America
Honduras,HND,75.088,5041.635254,9587523,Middle & South America
Hong Kong,HKG,84.687,50839.37109,7371728,Asia
Hungary,HUN,76.701,25622.8125,9707502,Europe
Iceland,ISL,82.855,43438.54297,336712,Europe
India,IND,69.416,6806.498535,1352642283,Asia
Indonesia,IDN,71.509,11851.7373,267670549,Asia
Iran,IRN,76.479,17011.30469,81800204,Asia
Iraq,IRQ,70.454,12835.8125,38433604,Asia
Ireland,IRL,82.103,64684.30078,4818694,Europe
Israel,ISR,82.819,32954.76953,8381507,Asia
Italy,ITA,83.352,34364.16797,60627291,Europe
Jamaica,JAM,74.368,7272.980469,2934853,Middle & South America
Japan,JPN,84.47,38673.80859,127202190,Asia
Jordan,JOR,74.405,11506.33789,9965322,Asia
Kazakhstan,KAZ,73.236,25307.55469,18319616,Asia
Kenya,KEN,66.342,3377.470459,51392570,Africa
Kuwait,KWT,75.398,65520.73828,4137314,Asia
Kyrgyzstan,KGZ,71.321,5176.988281,6304025,Asia
Laos,LAO,67.61,6450.906738,7061498,Asia
Latvia,LVA,75.172,24312.67773,1928461,Europe
Lebanon,LBN,78.875,12558.9668,6859408,Asia
Lesotho,LSO,53.705,2731.466064,2108327,Africa
Liberia,LBR,63.73,818.4210815,4818976,Africa
Libya,LBY,72.724,15013.3125,6678565,Africa
Lithuania,LTU,75.737,27370.55469,2801270,Europe
Luxembourg,LUX,82.102,57427.5,604244,Europe
Madagascar,MDG,66.681,1427.600342,26262313,Africa
Malawi,MWI,63.798,1116.640259,18143215,Africa
Malaysia,MYS,75.997,24842.35547,31528033,Asia
Mali,MLI,58.893,1667.295044,19077755,Africa
Malta,MLT,82.376,32028.91211,439255,Europe
Mauritania,MRT,64.704,3457.514893,4403312,Africa
Mauritius,MUS,74.863,20138.57227,1267184,Africa
Mexico,MEX,74.992,16494.07813,126190782,Middle & South America
Moldova,MDA,71.808,6746.728516,4051950,Europe
Mongolia,MNG,69.689,13382.54199,3170214,Asia
Montenegro,MNE,76.77,19504.1582,627803,Europe
Morocco,MAR,76.453,8451.135742,36029089,Africa
Mozambique,MOZ,60.163,1132.770874,29496009,Africa
Myanmar,MMR,66.867,5838.217285,53708318,Asia
Namibia,NAM,63.373,9043.120117,2448300,Africa
Nepal,NPL,70.478,2727.423828,28095712,Asia
Netherlands,NLD,82.143,47474.10938,17059560,Europe
New Zealand,NZL,82.145,35336.13672,4743131,Oceania
Nicaragua,NIC,74.275,4952.477051,6465502,Middle & South America
Niger,NER,62.024,964.6600952,22442831,Africa
Nigeria,NGA,54.332,5237.662109,195874685,Africa
North Korea,PRK,72.095,1596.351685,25549606,Asia
North Macedonia,MKD,75.688,13074.23145,2082956,Europe
Norway,NOR,82.271,84580.13281,5337960,Europe
Oman,OMN,77.633,36477.63672,4829476,Asia
Pakistan,PAK,67.114,5510.396484,212228288,Asia
Palestine,PSE,73.895,5207.756836,4862978,Asia
Panama,PAN,78.329,22637.14844,4176868,Middle & South America
Paraguay,PRY,74.131,9338.948242,6956069,Middle & South America
Peru,PER,76.516,12310.08496,31989265,Middle & South America
Philippines,PHL,71.095,8139.139648,106651394,Asia
Poland,POL,78.544,27455.23633,37921585,Europe
Portugal,PRT,81.857,27035.59961,10256192,Europe
Puerto Rico,PRI,79.952,35076.29297,3039598,Middle & South America
Qatar,QAT,80.1,153764.1719,2781682,Asia
Romania,ROU,75.924,20126.29297,19506110,Europe
Russia,RUS,72.386,24668.9082,145734034,Europe
Rwanda,RWA,68.7,1929.285156,12301969,Africa
Saint Lucia,LCA,76.057,10475.36914,181890,Middle & South America
Sao Tome and Principe,STP,70.17,3730.20459,211032,Africa
Saudi Arabia,SAU,74.998,50304.75,33702757,Asia
Senegal,SEN,67.665,2617.124512,15854324,Africa
Serbia,SRB,75.849,14124.11816,8802741,Europe
Seychelles,SYC,73.333,29531.06055,97094,Africa
Sierra Leone,SLE,54.309,1683.849731,7650149,Africa
Singapore,SGP,83.458,68402.34375,5757503,Asia
Slovakia,SVK,77.388,27075.53516,5453017,Europe
Slovenia,SVN,81.172,29244.91992,2077835,Europe
South Africa,ZAF,63.857,12165.79492,57792520,Africa
South Korea,KOR,82.846,37927.60938,51171700,Asia
Spain,ESP,83.433,31496.51953,46692863,Europe
Sri Lanka,LKA,76.812,11662.90625,21228760,Asia
Sweden,SWE,82.654,45541.89063,9971630,Europe
Switzerland,CHE,83.63,61372.73047,8525614,Europe
Syria,SYR,71.779,3349.459717,16945062,Asia
Taiwan,TWN,80.283,44663.86328,23726460,Asia
Tajikistan,TJK,70.879,4440.381836,9100847,Asia
Tanzania,TZA,65.015,2874.962891,56313444,Africa
Thailand,THA,76.931,16648.62305,69428454,Asia
Togo,TGO,60.76,1451.36084,7889095,Africa
Trinidad and Tobago,TTO,73.38,28549.4082,1389841,Middle & South America
Tunisia,TUN,76.505,11353.88672,11565203,Africa
Turkey,TUR,77.437,19270.2207,82340090,Asia
Turkmenistan,TKM,68.073,26318.36523,5850902,Asia
Uganda,UGA,62.973,2045.420288,42729032,Africa
Ukraine,UKR,71.953,9813.363281,44246158,Europe
United Arab Emirates,ARE,77.814,76397.82031,9630966,Asia
United Kingdom,GBR,81.236,38058.08594,67141678,Europe
United States,USA,78.851,55334.73828,327096263,North America
Uruguay,URY,77.77,20185.83594,3449290,Middle & South America
Uzbekistan,UZB,71.573,11220.37012,32476232,Asia
Venezuela,VEN,72.128,10709.9502,28887117,Middle & South America
Vietnam,VNM,75.317,6814.14209,95545959,Asia
Yemen,YEM,66.096,2284.889893,28498683,Asia
Zambia,ZMB,63.51,3534.033691,17351714,Africa
Zimbabwe,ZWE,61.195,1611.405151,14438812,Africa
